episode,total_reward,steps,goals_scored,goals_conceded,hits,avg_distance,win
1,406.17622785289086,628,1,0,3,265.3407817297632,True
2,1451.4123856426925,1375,1,0,8,188.30623755687074,True
3,4994.024517878786,3000,0,0,74,119.59792919970785,False
4,1080.2952638530796,662,1,0,7,249.85931114112418,True
5,4994.024517878786,3000,0,0,74,119.59792919970785,False
6,406.17622785289086,628,1,0,3,265.3407817297632,True
7,406.17622785289086,628,1,0,3,265.3407817297632,True
8,1080.2952638530796,662,1,0,7,249.85931114112418,True
9,406.17622785289086,628,1,0,3,265.3407817297632,True
10,4994.024517878786,3000,0,0,74,119.59792919970785,False
11,1451.4123856426925,1375,1,0,8,188.30623755687074,True
12,1080.2952638530796,662,1,0,7,249.85931114112418,True
13,4994.024517878786,3000,0,0,74,119.59792919970785,False
14,1080.2952638530796,662,1,0,7,249.85931114112418,True
15,1080.2952638530796,662,1,0,7,249.85931114112418,True
16,1080.2952638530796,662,1,0,7,249.85931114112418,True
17,4994.024517878786,3000,0,0,74,119.59792919970785,False
18,4994.024517878786,3000,0,0,74,119.59792919970785,False
19,406.17622785289086,628,1,0,3,265.3407817297632,True
20,1451.4123856426925,1375,1,0,8,188.30623755687074,True
21,1080.2952638530796,662,1,0,7,249.85931114112418,True
22,406.17622785289086,628,1,0,3,265.3407817297632,True
23,406.17622785289086,628,1,0,3,265.3407817297632,True
24,406.17622785289086,628,1,0,3,265.3407817297632,True
25,1451.4123856426925,1375,1,0,8,188.30623755687074,True
26,406.17622785289086,628,1,0,3,265.3407817297632,True
27,4994.024517878786,3000,0,0,74,119.59792919970785,False
28,4994.024517878786,3000,0,0,74,119.59792919970785,False
29,1080.2952638530796,662,1,0,7,249.85931114112418,True
30,4994.024517878786,3000,0,0,74,119.59792919970785,False
31,1080.2952638530796,662,1,0,7,249.85931114112418,True
32,4994.024517878786,3000,0,0,74,119.59792919970785,False
33,1451.4123856426925,1375,1,0,8,188.30623755687074,True
34,1451.4123856426925,1375,1,0,8,188.30623755687074,True
35,1451.4123856426925,1375,1,0,8,188.30623755687074,True
36,1080.2952638530796,662,1,0,7,249.85931114112418,True
37,1451.4123856426925,1375,1,0,8,188.30623755687074,True
38,1451.4123856426925,1375,1,0,8,188.30623755687074,True
39,406.17622785289086,628,1,0,3,265.3407817297632,True
40,406.17622785289086,628,1,0,3,265.3407817297632,True
41,1451.4123856426925,1375,1,0,8,188.30623755687074,True
42,1451.4123856426925,1375,1,0,8,188.30623755687074,True
43,1080.2952638530796,662,1,0,7,249.85931114112418,True
44,1451.4123856426925,1375,1,0,8,188.30623755687074,True
45,1080.2952638530796,662,1,0,7,249.85931114112418,True
46,406.17622785289086,628,1,0,3,265.3407817297632,True
47,4994.024517878786,3000,0,0,74,119.59792919970785,False
48,4994.024517878786,3000,0,0,74,119.59792919970785,False
49,1080.2952638530796,662,1,0,7,249.85931114112418,True
50,406.17622785289086,628,1,0,3,265.3407817297632,True
51,4994.024517878786,3000,0,0,74,119.59792919970785,False
52,4994.024517878786,3000,0,0,74,119.59792919970785,False
53,406.17622785289086,628,1,0,3,265.3407817297632,True
54,1451.4123856426925,1375,1,0,8,188.30623755687074,True
55,1451.4123856426925,1375,1,0,8,188.30623755687074,True
56,1080.2952638530796,662,1,0,7,249.85931114112418,True
57,406.17622785289086,628,1,0,3,265.3407817297632,True
58,406.17622785289086,628,1,0,3,265.3407817297632,True
59,4994.024517878786,3000,0,0,74,119.59792919970785,False
60,1080.2952638530796,662,1,0,7,249.85931114112418,True
61,1451.4123856426925,1375,1,0,8,188.30623755687074,True
62,1451.4123856426925,1375,1,0,8,188.30623755687074,True
63,406.17622785289086,628,1,0,3,265.3407817297632,True
64,1080.2952638530796,662,1,0,7,249.85931114112418,True
65,1451.4123856426925,1375,1,0,8,188.30623755687074,True
66,1451.4123856426925,1375,1,0,8,188.30623755687074,True
67,406.17622785289086,628,1,0,3,265.3407817297632,True
68,406.17622785289086,628,1,0,3,265.3407817297632,True
69,1451.4123856426925,1375,1,0,8,188.30623755687074,True
70,1080.2952638530796,662,1,0,7,249.85931114112418,True
71,1451.4123856426925,1375,1,0,8,188.30623755687074,True
72,1080.2952638530796,662,1,0,7,249.85931114112418,True
73,1080.2952638530796,662,1,0,7,249.85931114112418,True
74,406.17622785289086,628,1,0,3,265.3407817297632,True
75,1080.2952638530796,662,1,0,7,249.85931114112418,True
76,1080.2952638530796,662,1,0,7,249.85931114112418,True
77,406.17622785289086,628,1,0,3,265.3407817297632,True
78,406.17622785289086,628,1,0,3,265.3407817297632,True
79,1451.4123856426925,1375,1,0,8,188.30623755687074,True
80,4994.024517878786,3000,0,0,74,119.59792919970785,False
81,4994.024517878786,3000,0,0,74,119.59792919970785,False
82,4994.024517878786,3000,0,0,74,119.59792919970785,False
83,1451.4123856426925,1375,1,0,8,188.30623755687074,True
84,406.17622785289086,628,1,0,3,265.3407817297632,True
85,406.17622785289086,628,1,0,3,265.3407817297632,True
86,1080.2952638530796,662,1,0,7,249.85931114112418,True
87,4994.024517878786,3000,0,0,74,119.59792919970785,False
88,1080.2952638530796,662,1,0,7,249.85931114112418,True
89,4994.024517878786,3000,0,0,74,119.59792919970785,False
90,1451.4123856426925,1375,1,0,8,188.30623755687074,True
91,1451.4123856426925,1375,1,0,8,188.30623755687074,True
92,4994.024517878786,3000,0,0,74,119.59792919970785,False
93,4994.024517878786,3000,0,0,74,119.59792919970785,False
94,4994.024517878786,3000,0,0,74,119.59792919970785,False
95,4994.024517878786,3000,0,0,74,119.59792919970785,False
96,406.17622785289086,628,1,0,3,265.3407817297632,True
97,1451.4123856426925,1375,1,0,8,188.30623755687074,True
98,1451.4123856426925,1375,1,0,8,188.30623755687074,True
99,1080.2952638530796,662,1,0,7,249.85931114112418,True
100,406.17622785289086,628,1,0,3,265.3407817297632,True
